X2[t],S[t],X2[t+1],S[t+1]
470,0.4411764705882353,470,0.42424242424242425
470,0.42424242424242425,470,0.45454545454545453
470,0.45454545454545453,470,0.45454545454545453
470,0.45454545454545453,470,0.45454545454545453
470,0.45454545454545453,470,0.4411764705882353
470,0.4411764705882353,469,0.45454545454545453
469,0.45454545454545453,467,0.4444444444444444
467,0.4444444444444444,467,0.4444444444444444
467,0.4444444444444444,467,0.4722222222222222
467,0.4722222222222222,466,0.4857142857142857
466,0.4857142857142857,466,0.4444444444444444
466,0.4444444444444444,465,0.45714285714285713
465,0.45714285714285713,464,0.45714285714285713
464,0.45714285714285713,462,0.47058823529411764
462,0.47058823529411764,462,0.47058823529411764
462,0.47058823529411764,495,0.3888888888888889
495,0.3888888888888889,495,0.3888888888888889
495,0.3888888888888889,495,0.3888888888888889
495,0.3888888888888889,494,0.4
494,0.4,494,0.3888888888888889
494,0.3888888888888889,493,0.4
493,0.4,493,0.42857142857142855
493,0.42857142857142855,493,0.42857142857142855
493,0.42857142857142855,492,0.48484848484848486
492,0.48484848484848486,493,0.47058823529411764
493,0.47058823529411764,493,0.5151515151515151
493,0.5151515151515151,493,0.5454545454545454
493,0.5454545454545454,493,0.5625
493,0.5625,493,0.5625
493,0.5625,485,0.8620689655172413
485,0.8620689655172413,485,0.8620689655172413
485,0.8620689655172413,485,0.8928571428571429
485,0.8928571428571429,486,0.8620689655172413
486,0.8620689655172413,484,0.5806451612903226
484,0.5806451612903226,483,0.5806451612903226
483,0.5806451612903226,482,0.5
482,0.5,480,0.5161290322580645
480,0.5161290322580645,479,0.46875
479,0.46875,477,0.4838709677419355
477,0.4838709677419355,476,0.4375
476,0.4375,473,0.3939393939393939
473,0.3939393939393939,471,0.40625
471,0.40625,469,0.375
469,0.375,468,0.36363636363636365
468,0.36363636363636365,466,0.375
466,0.375,465,0.34375
465,0.34375,467,0.36363636363636365
467,0.36363636363636365,467,0.40625
467,0.40625,470,0.53125
470,0.53125,471,0.53125
471,0.53125,471,0.53125
471,0.53125,471,0.5483870967741935
471,0.5483870967741935,470,0.6
470,0.6,481,1.4545454545454546
481,1.4545454545454546,494,0.7096774193548387
494,0.7096774193548387,488,0.65625
488,0.65625,488,0.65625
488,0.65625,488,0.6363636363636364
488,0.6363636363636364,487,0.65625
487,0.65625,487,0.65625
487,0.65625,487,0.65625
487,0.65625,487,0.65625
487,0.65625,487,0.65625
487,0.65625,506,0.6875
506,0.6875,499,0.6774193548387096
499,0.6774193548387096,497,0.6451612903225806
497,0.6451612903225806,1,1.0
